"","","GR19-MIT5","IS19-13","IS19-14"
"197","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp. R43",2,NA,NA
"198","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp. Sn5-8",12,NA,NA
"199","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;metagenome",NA,71,2
"200","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Frankia sp. Iso899",NA,4,NA
"201","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Frankia sp. MG-2011-113-GK",NA,NA,1
"202","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Frankiaceae bacterium KVD-unk-16",NA,6,NA
"203","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Frankineae bacterium MT45",9,NA,2
"204","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans sp.",21,4,NA
"205","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;metagenome",25,37,3
"206","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;uncultured bacterium",47,128,11
"207","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;uncultured Frankineae bacterium",9,52,6
"208","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus sp. URHD0036",7,NA,NA
"209","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Candidatus Blastococcus massiliensis AP3",11,18,NA
"210","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Geodermatophilaceae bacterium CIBE-G11",1,NA,NA
"211","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;uncultured bacterium",20,27,NA
"212","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;uncultured Blastococcus sp.",NA,6,NA
"213","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus sp.",NA,NA,1
"214","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus DSM 43160",NA,3,NA
"215","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus telluris",NA,4,NA
"216","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Klenkia;bacterium BII-R1",NA,NA,3
"217","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Klenkia;Geodermatophilus sp. Leaf369",1,NA,2
"218","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Klenkia;Modestobacter sp. R-36506",1,NA,NA
"219","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter caceresii",NA,5,3
"220","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter sp. DSM 44400",1,NA,NA
"221","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;metagenome",133,659,14
"222","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella endophytica",2,4,NA
"223","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella panacisegetis",266,14601,402
"224","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella sp.",NA,6,NA
"225","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella sp. UYEF19",8,1519,42
"226","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Sanguibacter sp. 804B5_12ECASO",1,NA,NA
"227","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;uncultured bacterium",61,527,14
"228","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;uncultured Nakamurellaceae bacterium",NA,4,2
"229","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Candidatus Planktophila;uncultured bacterium",NA,NA,2
"230","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Candidatus Planktophila;uncultured Sporichthyaceae bacterium",NA,NA,2
"231","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade;actinobacterium SCGC AAA041-L13",2,NA,NA
"232","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade;uncultured actinobacterium",132,4,83
"233","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade;uncultured bacterium",35,NA,52
"234","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Longivirga;bacterium",NA,47,NA
"235","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Longivirga;Longivirga aurantiaca",NA,117,6
"236","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Longivirga;metagenome",NA,326,31
"237","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Longivirga;uncultured bacterium",NA,82,10
"238","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;metagenome",116,29,5
"239","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya polymorpha DSM 43042",NA,NA,1
"240","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;uncultured bacterium",1,6,NA
"241","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;uncultured actinobacterium",NA,3,NA
"242","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;uncultured bacterium",NA,NA,42
"243","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;uncultured Frankineae bacterium",NA,4,NA
"244","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;uncultured;uncultured bacterium",37,47,12
"245","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;uncultured bacterium",9,11,NA
"246","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;uncultured;Actinomycetales bacterium",2685,572,169
"247","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;uncultured;Frankiales bacterium",264,NA,8
"248","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;uncultured;metagenome",1804,1474,142
"249","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;uncultured;uncultured actinobacterium",210,298,116
"250","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;uncultured;uncultured bacterium",5650,3231,456
"251","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;uncultured;uncultured Pseudonocardiaceae bacterium",83,NA,NA
"252","Bacteria;Actinobacteriota;Actinobacteria;Glycomycetales;Glycomycetaceae;Glycomyces;Glycomyces fuscus",2,NA,NA
"253","Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter luteus",NA,NA,2
"254","Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter sp.",NA,NA,1
"255","Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter sp. Root456",45,NA,NA
"256","Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;uncultured bacterium",19,4,4
"257","Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus-like bacterium AS3088",8,NA,NA
"258","Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;uncultured bacterium",15,NA,NA
"259","Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Angustibacter sp. LNNU114164",31,NA,NA
"260","Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;metagenome",10,9,NA
"261","Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;uncultured bacterium",NA,3,NA
"262","Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;uncultured bacterium",NA,65,NA
"263","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;Georgenia sp.",NA,13,4
"264","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium album",27,NA,NA
"265","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium linens",10,NA,NA
"266","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium siliguriense",2,NA,NA
"267","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium sp. BN12_96A",45,14,6
"268","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea;Actinotalea ferrariae CF5-4",NA,NA,6
"269","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea;uncultured bacterium",NA,NA,10
"270","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas cellasea",NA,3,54
"271","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas chitinilytica",NA,NA,6
"272","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas flavigena DSM 20109",2,40,1
"273","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas gelida",NA,NA,2
"274","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas soli",NA,NA,4
"275","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp.",1,22,6
"276","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp. Asd M7A1",NA,NA,6
"277","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp. enrichment culture clone O8",NA,NA,2
"278","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp. KAR1",NA,NA,14
"279","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp. SN7",30,42,74
"280","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp. TSU-02",NA,6,NA
"281","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp. TUT1302",NA,12,NA
"282","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;mine drainage metagenome",307,74,21
"283","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;uncultured bacterium",142,5,59
"284","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Oerskovia;Oerskovia turbata",NA,NA,3
"285","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Pseudactinotalea;metagenome",16,3,NA
"286","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Pseudactinotalea;Pseudactinotalea suaedae",NA,15,NA
"287","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae;Demequina;uncultured Cellulomonadaceae bacterium",NA,NA,2
"288","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae;Demequina;uncultured soil bacterium",NA,NA,2
"289","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium tyrofermentans",8,NA,NA
"290","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Devriesea;Devriesea agamarum",2,NA,NA
"291","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Allobranchiibius;Allobranchiibius huperziae",1,NA,NA
"292","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Dermacoccus;uncultured bacterium",105,324,8
"293","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Kytococcus;Kytococcus sedentarius DSM 20547",29,55,NA
"294","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Mobilicoccus;Dermacoccaceae bacterium",13,NA,NA
"295","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Mobilicoccus;Mobilicoccus pelagius NBRC 104925",2,NA,NA
"296","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;uncultured;uncultured bacterium",35,NA,2
"297","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Aquipuribacter;Micrococcineae bacterium 4_C16_66",1,NA,NA
"298","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Aquipuribacter;uncultured bacterium",14,NA,NA
"299","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Arsenicicoccus;Arsenicicoccus sp. oral taxon 190",NA,NA,4
"300","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Humibacillus;Humibacillus sp. DSM 29435",33,NA,NA
"301","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;bacterium BII-R2",NA,NA,2
"302","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;Janibacter hoylei",NA,NA,1
"303","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Knoellia;Intrasporangiaceae bacterium hp5",NA,NA,2
"304","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Knoellia;Knoellia aerolata",19,NA,NA
"305","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Knoellia;Knoellia sp. BA4(2011)",7,NA,NA
"306","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Knoellia;Knoellia sp. R-43101",NA,NA,1
"307","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Knoellia;Knoellia sp. Soil729",65,NA,2
"308","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Knoellia;uncultured bacterium",NA,NA,3
"309","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Lapillicoccus;bacterium 1a-Br9",23,NA,NA
"310","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Lapillicoccus;Lapillicoccus sp.",10,NA,NA
"311","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Lapillicoccus;Tetrasphaera sp.",NA,NA,1
"312","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Lapillicoccus;uncultured bacterium",35,NA,21
"313","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;metagenome",27,4,NA
"314","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinimicrobium;Ornithinimicrobium sp. AMA3305",11,NA,NA
"315","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;Oryzihumus terrae",NA,NA,5
"316","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;uncultured bacterium",1133,39,611
"317","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;uncultured Cellulomonadaceae bacterium",NA,NA,12
"318","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;uncultured Intrasporangiaceae bacterium",NA,NA,2
"319","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Pedococcus-Phycicoccus;metagenome",17,3,1
"320","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Pedococcus-Phycicoccus;Phycicoccus endophyticus",14,NA,NA
"321","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Pedococcus-Phycicoccus;Phycicoccus sp.",17,NA,7
"322","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Pedococcus-Phycicoccus;uncultured bacterium",26,6,18
"323","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Terrabacter;Terrabacter sp. Root85",22,NA,2
"324","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Terrabacter;uncultured bacterium",33,NA,1
"325","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;metagenome",54,6,18
"326","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;Oryzihumus soli",NA,NA,7
"327","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;Sanguibacter sp. enrichment culture clone VanCtr9",12,NA,4
"328","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;Tetrasphaera japonica",1,NA,NA
"329","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;uncultured actinobacterium",53,90,13
"330","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;uncultured bacterium",17,NA,1
"331","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;uncultured bacterium",2,NA,NA
"332","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;uncultured;uncultured bacterium",2,NA,NA
"333","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Jonesiaceae;Jonesia;Jonesia quinghaiensis",11,NA,NA
"334","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agrococcus;Agrococcus carbonis",1,NA,NA
"335","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agrococcus;uncultured bacterium",2,NA,NA
"336","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces bauzanensis",1,NA,NA
"337","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces subbeticus DSM 16689",NA,NA,2
"338","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Alpinimonas;Alpinimonas psychrophila",NA,9,NA
"339","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Aurantimicrobium;Aurantimicrobium minutum",71,NA,NA
"340","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Aurantimicrobium;uncultured bacterium",53,18,1
"341","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Flaviluna;Candidatus Flaviluna lacus",85,NA,NA
"342","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Planktoluna;uncultured actinobacterium",NA,3,NA
"343","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Planktoluna;uncultured bacterium",33,NA,NA
"344","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Clavibacter;Clavibacter michiganensis",1,NA,NA
"345","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Clavibacter;Clavibacter sp. ZSGR4",1,NA,NA
"346","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Clavibacter;Compostimonas sp. J5903",NA,25,1
"347","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Conyzicola;Salinibacterium sp. TP-Snow-C15",9,NA,NA
"348","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium;Cryobacterium psychrophilum",139,12,2
"349","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium;Cryobacterium psychrotolerans",25,NA,2
"350","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium;Cryobacterium sp. AsdMX-L1",94,18,4
"351","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium;Cryobacterium sp. LW097",122,55,17
"352","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium;Cryobacterium sp. MLB-29",NA,NA,2
"353","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium;Cryobacterium sp. MLB-32",357,7,6
"354","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium;uncultured bacterium",34,NA,NA
"355","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium;uncultured Cryobacterium sp.",10,NA,NA
"356","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium;uncultured Microbacteriaceae bacterium",17,NA,NA
"357","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;Curtobacterium herbarum",60,NA,NA
"358","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;Curtobacterium sp. Leaf261",NA,NA,2
"359","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;Curtobacterium sp. VKM Ac-1811",1,NA,NA
"360","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;uncultured soil bacterium",48,NA,3
"361","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Diaminobutyricimonas;Diaminobutyricimonas aerilata",1,4,8
